Mon, 13 Jan 2014 11:58:53 CET: class RSSThread, method run, First visit: http://www.spiegel.de/politik/index.rss
Mon, 13 Jan 2014 11:59:23 CET: class RSSThread, method run, First visit: http://www.spiegel.de/politik/index.rss
Mon, 13 Jan 2014 11:59:53 CET: class RSSThread, method run, First visit: http://newsfeed.zeit.de/auto/index
Mon, 13 Jan 2014 11:59:53 CET: class RSSThread, method run, First visit: http://newsfeed.zeit.de/karriere/index
Mon, 13 Jan 2014 12:00:23 CET: class RSSThread, method run, First visit: http://newsfeed.zeit.de/auto/index
Mon, 13 Jan 2014 12:00:23 CET: class RSSThread, method run, First visit: http://newsfeed.zeit.de/karriere/index
Mon, 13 Jan 2014 12:00:53 CET: class RSSThread, method run, First visit: http://newsfeed.zeit.de/studium/index
Mon, 13 Jan 2014 12:01:23 CET: class RSSThread, method run, First visit: http://newsfeed.zeit.de/studium/index
Mon, 13 Jan 2014 12:01:53 CET: class RSSThread, method run, First visit: http://newsfeed.zeit.de/meinung/index
Mon, 13 Jan 2014 12:02:23 CET: class RSSThread, method run, First visit: http://newsfeed.zeit.de/meinung/index
Mon, 13 Jan 2014 12:02:53 CET: class RSSThread, method run, First visit: http://newsfeed.zeit.de/politik/index
Mon, 13 Jan 2014 12:03:23 CET: class RSSThread, method run, First visit: http://newsfeed.zeit.de/politik/index
Mon, 13 Jan 2014 12:03:53 CET: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/technik-motor/
Mon, 13 Jan 2014 12:04:23 CET: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/technik-motor/
Mon, 13 Jan 2014 12:18:04 CET: class RSSThread, method run, Visiting: http://www.faz.net/rss/aktuell/finanzen/
Mon, 13 Jan 2014 12:18:04 CET: class RSSThread, method run, Visiting: http://www.faz.net/rss/aktuell/finanzen/
Mon, 13 Jan 2014 12:19:15 CET: class RSSThread, method run, Visiting: http://newsfeed.zeit.de/gesellschaft/index
Mon, 13 Jan 2014 12:19:15 CET: class RSSThread, method run, Visiting: http://newsfeed.zeit.de/gesellschaft/index
Mon, 13 Jan 2014 12:20:15 CET: class RSSThread, method run, Visiting: http://www.faz.net/rss/aktuell/sport/
Mon, 13 Jan 2014 12:20:16 CET: class RSSThread, method run, Visiting: http://www.faz.net/rss/aktuell/sport/
Mon, 13 Jan 2014 12:21:16 CET: class RSSThread, method run, Visiting: http://www.spiegel.de/sport/index.rss
Mon, 13 Jan 2014 12:21:16 CET: class RSSThread, method run, Visiting: http://www.spiegel.de/sport/index.rss
Mon, 13 Jan 2014 12:22:16 CET: class RSSThread, method run, Visiting: http://feeds.washingtonpost.com/rss/politics
Mon, 13 Jan 2014 12:22:16 CET: class RSSThread, method run, Visiting: http://feeds.washingtonpost.com/rss/politics
Mon, 13 Jan 2014 12:23:16 CET: class RSSThread, method run, Visiting: http://www.faz.net/rss/aktuell/gesellschaft/
Mon, 13 Jan 2014 12:23:16 CET: class RSSThread, method run, Visiting: http://www.faz.net/rss/aktuell/gesellschaft/
Mon, 13 Jan 2014 12:24:16 CET: class RSSThread, method run, Visiting: http://newsfeed.zeit.de/wissen/index
